状态ID,页面ID,平台,页面,状态码,进入条件,展示行为,允许操作,禁用操作,恢复策略,埋点事件,是否终态,成熟度
STA-01299,ADM-CMS-003,ADMIN,公告帮助协议,DIRTY,存在未保存变更,显示未保存标识和离开确认,保存/放弃,与当前状态、权限或服务端version冲突的所有写操作,禁止静默丢失,page_state_adm_cms_003_dirty,否,FROZEN_V1.2.2
STA-01300,ADM-CMS-003,ADMIN,公告帮助协议,PREVIEWING,CMS或模板预览中,显示目标端、版本和示例变量,返回编辑/提交审批,与当前状态、权限或服务端version冲突的所有写操作,预览不得写入生产,page_state_adm_cms_003_previewing,否,FROZEN_V1.2.2
STA-01301,ADM-CMS-003,ADMIN,公告帮助协议,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_cms_003_pending_approval,否,FROZEN_V1.2.2
STA-01302,ADM-CMS-003,ADMIN,公告帮助协议,PUBLISHED,内容/版本已发布,显示渠道、范围、时间和产物哈希,查看/回滚申请,与当前状态、权限或服务端version冲突的所有写操作,不可修改已发布快照,page_state_adm_cms_003_published,是,FROZEN_V1.2.2
STA-01303,ADM-CMS-003,ADMIN,公告帮助协议,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_adm_cms_003_conflict,否,FROZEN_V1.2.2
STA-01304,ADM-CMS-003,ADMIN,公告帮助协议,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_cms_003_error,否,FROZEN_V1.2.2
STA-01305,ADM-CMS-003,ADMIN,公告帮助协议,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_cms_003_offline,否,FROZEN_V1.2.2
STA-01306,ADM-CMS-003,ADMIN,公告帮助协议,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_cms_003_no_permission,是,FROZEN_V1.2.2
STA-01307,ADM-APP-001,ADMIN,App版本,DRAFT,存在未生效配置/规则/模板草稿,显示与当前版本差异,编辑/校验/提交审批,与当前状态、权限或服务端version冲突的所有写操作,不得影响运行时,page_state_adm_app_001_draft,否,FROZEN_V1.2.2
STA-01308,ADM-APP-001,ADMIN,App版本,QUEUED,构建、导出或异步任务排队,显示队列位置和提交快照,取消（允许时）/查看,与当前状态、权限或服务端version冲突的所有写操作,同一快照避免重复任务,page_state_adm_app_001_queued,否,FROZEN_V1.2.2
STA-01309,ADM-APP-001,ADMIN,App版本,RUNNING,任务有效进行中,展示服务端进度、心跳和可见性,继续/取消,与当前状态、权限或服务端version冲突的所有写操作,本地计时不决定奖励,page_state_adm_app_001_running,否,FROZEN_V1.2.2
STA-01310,ADM-APP-001,ADMIN,App版本,SUCCEEDED,异步任务成功,显示产物、校验和、过期时间,下载/发布/查看,与当前状态、权限或服务端version冲突的所有写操作,下载使用短时令牌,page_state_adm_app_001_succeeded,是,FROZEN_V1.2.2
STA-01311,ADM-APP-001,ADMIN,App版本,FAILED,业务操作明确失败,展示业务原因和可执行下一步,修改后重试/返回,与当前状态、权限或服务端version冲突的所有写操作,保留非敏感上下文,page_state_adm_app_001_failed,是,FROZEN_V1.2.2
STA-01312,ADM-APP-001,ADMIN,App版本,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_app_001_pending_approval,否,FROZEN_V1.2.2
STA-01313,ADM-APP-001,ADMIN,App版本,PUBLISHED,内容/版本已发布,显示渠道、范围、时间和产物哈希,查看/回滚申请,与当前状态、权限或服务端version冲突的所有写操作,不可修改已发布快照,page_state_adm_app_001_published,是,FROZEN_V1.2.2
STA-01314,ADM-APP-001,ADMIN,App版本,ROLLED_BACK,版本已回滚,显示来源版本、目标版本和原因,查看历史,与当前状态、权限或服务端version冲突的所有写操作,回滚本身形成新记录,page_state_adm_app_001_rolled_back,是,FROZEN_V1.2.2
STA-01315,ADM-APP-001,ADMIN,App版本,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_app_001_error,否,FROZEN_V1.2.2
STA-01316,ADM-APP-001,ADMIN,App版本,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_app_001_offline,否,FROZEN_V1.2.2
STA-01317,ADM-APP-001,ADMIN,App版本,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_app_001_no_permission,是,FROZEN_V1.2.2
STA-01318,ADM-RISK-001,ADMIN,风险事件,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_risk_001_loading,否,FROZEN_V1.2.2
STA-01319,ADM-RISK-001,ADMIN,风险事件,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_adm_risk_001_content,否,FROZEN_V1.2.2
STA-01320,ADM-RISK-001,ADMIN,风险事件,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_risk_001_no_permission,是,FROZEN_V1.2.2
STA-01321,ADM-RISK-001,ADMIN,风险事件,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_risk_001_pending_approval,否,FROZEN_V1.2.2
STA-01322,ADM-RISK-001,ADMIN,风险事件,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_risk_001_error,否,FROZEN_V1.2.2
STA-01323,ADM-RISK-001,ADMIN,风险事件,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_risk_001_offline,否,FROZEN_V1.2.2
STA-01324,ADM-RISK-002,ADMIN,黑白名单,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_risk_002_loading,否,FROZEN_V1.2.2
STA-01325,ADM-RISK-002,ADMIN,黑白名单,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_adm_risk_002_content,否,FROZEN_V1.2.2
STA-01326,ADM-RISK-002,ADMIN,黑白名单,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_risk_002_no_permission,是,FROZEN_V1.2.2
STA-01327,ADM-RISK-002,ADMIN,黑白名单,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_risk_002_pending_approval,否,FROZEN_V1.2.2
STA-01328,ADM-RISK-002,ADMIN,黑白名单,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_risk_002_error,否,FROZEN_V1.2.2
STA-01329,ADM-RISK-002,ADMIN,黑白名单,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_risk_002_offline,否,FROZEN_V1.2.2
STA-01330,ADM-CONFIG-001,ADMIN,系统配置,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_config_001_loading,否,FROZEN_V1.2.2
STA-01331,ADM-CONFIG-001,ADMIN,系统配置,ACTIVE_VERSION,配置当前生效版本,只读展示值、来源、生效时间和审计,创建草稿/回滚申请,与当前状态、权限或服务端version冲突的所有写操作,秘密仅显示配置状态,page_state_adm_config_001_active_version,否,FROZEN_V1.2.2
STA-01332,ADM-CONFIG-001,ADMIN,系统配置,DRAFT,存在未生效配置/规则/模板草稿,显示与当前版本差异,编辑/校验/提交审批,与当前状态、权限或服务端version冲突的所有写操作,不得影响运行时,page_state_adm_config_001_draft,否,FROZEN_V1.2.2
STA-01333,ADM-CONFIG-001,ADMIN,系统配置,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_adm_config_001_validating,否,FROZEN_V1.2.2
STA-01334,ADM-CONFIG-001,ADMIN,系统配置,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_config_001_pending_approval,否,FROZEN_V1.2.2
STA-01335,ADM-CONFIG-001,ADMIN,系统配置,ACTIVATING,配置版本原子激活中,显示步骤和回滚点,查询状态,与当前状态、权限或服务端version冲突的所有写操作,不得并行激活,page_state_adm_config_001_activating,否,FROZEN_V1.2.2
STA-01336,ADM-CONFIG-001,ADMIN,系统配置,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_config_001_error,否,FROZEN_V1.2.2
STA-01337,ADM-CONFIG-001,ADMIN,系统配置,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_adm_config_001_conflict,否,FROZEN_V1.2.2
STA-01338,ADM-CONFIG-001,ADMIN,系统配置,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_config_001_offline,否,FROZEN_V1.2.2
STA-01339,ADM-CONFIG-001,ADMIN,系统配置,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_config_001_no_permission,是,FROZEN_V1.2.2
STA-01340,ADM-RBAC-001,ADMIN,员工角色权限,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_rbac_001_loading,否,FROZEN_V1.2.2
STA-01341,ADM-RBAC-001,ADMIN,员工角色权限,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_adm_rbac_001_content,否,FROZEN_V1.2.2
STA-01342,ADM-RBAC-001,ADMIN,员工角色权限,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_rbac_001_no_permission,是,FROZEN_V1.2.2
STA-01343,ADM-RBAC-001,ADMIN,员工角色权限,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_rbac_001_pending_approval,否,FROZEN_V1.2.2
STA-01344,ADM-RBAC-001,ADMIN,员工角色权限,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_rbac_001_error,否,FROZEN_V1.2.2
STA-01345,ADM-RBAC-001,ADMIN,员工角色权限,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_rbac_001_offline,否,FROZEN_V1.2.2
STA-01346,ADM-AUDIT-001,ADMIN,审计日志,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_audit_001_loading,否,FROZEN_V1.2.2
STA-01347,ADM-AUDIT-001,ADMIN,审计日志,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_adm_audit_001_content,否,FROZEN_V1.2.2
STA-01348,ADM-AUDIT-001,ADMIN,审计日志,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_audit_001_no_permission,是,FROZEN_V1.2.2
STA-01349,ADM-AUDIT-001,ADMIN,审计日志,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_audit_001_pending_approval,否,FROZEN_V1.2.2
STA-01350,ADM-AUDIT-001,ADMIN,审计日志,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_audit_001_error,否,FROZEN_V1.2.2
STA-01351,ADM-AUDIT-001,ADMIN,审计日志,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_audit_001_offline,否,FROZEN_V1.2.2
STA-01352,ADM-JOB-001,ADMIN,定时任务,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_job_001_loading,否,FROZEN_V1.2.2
STA-01353,ADM-JOB-001,ADMIN,定时任务,ACTIVE_VERSION,配置当前生效版本,只读展示值、来源、生效时间和审计,创建草稿/回滚申请,与当前状态、权限或服务端version冲突的所有写操作,秘密仅显示配置状态,page_state_adm_job_001_active_version,否,FROZEN_V1.2.2
STA-01354,ADM-JOB-001,ADMIN,定时任务,DRAFT,存在未生效配置/规则/模板草稿,显示与当前版本差异,编辑/校验/提交审批,与当前状态、权限或服务端version冲突的所有写操作,不得影响运行时,page_state_adm_job_001_draft,否,FROZEN_V1.2.2
STA-01355,ADM-JOB-001,ADMIN,定时任务,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_adm_job_001_validating,否,FROZEN_V1.2.2
STA-01356,ADM-JOB-001,ADMIN,定时任务,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_job_001_pending_approval,否,FROZEN_V1.2.2
STA-01357,ADM-JOB-001,ADMIN,定时任务,ACTIVATING,配置版本原子激活中,显示步骤和回滚点,查询状态,与当前状态、权限或服务端version冲突的所有写操作,不得并行激活,page_state_adm_job_001_activating,否,FROZEN_V1.2.2
STA-01358,ADM-JOB-001,ADMIN,定时任务,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_job_001_error,否,FROZEN_V1.2.2
STA-01359,ADM-JOB-001,ADMIN,定时任务,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_adm_job_001_conflict,否,FROZEN_V1.2.2
STA-01360,ADM-JOB-001,ADMIN,定时任务,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_job_001_offline,否,FROZEN_V1.2.2
STA-01361,ADM-JOB-001,ADMIN,定时任务,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_job_001_no_permission,是,FROZEN_V1.2.2
STA-01362,ADM-CONFIG-002,ADMIN,供应商配置中心,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_config_002_loading,否,FROZEN_V1.2.2
STA-01363,ADM-CONFIG-002,ADMIN,供应商配置中心,ACTIVE_VERSION,配置当前生效版本,只读展示值、来源、生效时间和审计,创建草稿/回滚申请,与当前状态、权限或服务端version冲突的所有写操作,秘密仅显示配置状态,page_state_adm_config_002_active_version,否,FROZEN_V1.2.2
STA-01364,ADM-CONFIG-002,ADMIN,供应商配置中心,DRAFT,存在未生效配置/规则/模板草稿,显示与当前版本差异,编辑/校验/提交审批,与当前状态、权限或服务端version冲突的所有写操作,不得影响运行时,page_state_adm_config_002_draft,否,FROZEN_V1.2.2
STA-01365,ADM-CONFIG-002,ADMIN,供应商配置中心,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_adm_config_002_validating,否,FROZEN_V1.2.2
STA-01366,ADM-CONFIG-002,ADMIN,供应商配置中心,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_config_002_pending_approval,否,FROZEN_V1.2.2
STA-01367,ADM-CONFIG-002,ADMIN,供应商配置中心,ACTIVATING,配置版本原子激活中,显示步骤和回滚点,查询状态,与当前状态、权限或服务端version冲突的所有写操作,不得并行激活,page_state_adm_config_002_activating,否,FROZEN_V1.2.2
STA-01368,ADM-CONFIG-002,ADMIN,供应商配置中心,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_config_002_error,否,FROZEN_V1.2.2
STA-01369,ADM-CONFIG-002,ADMIN,供应商配置中心,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_adm_config_002_conflict,否,FROZEN_V1.2.2
STA-01370,ADM-CONFIG-002,ADMIN,供应商配置中心,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_config_002_offline,否,FROZEN_V1.2.2
STA-01371,ADM-CONFIG-002,ADMIN,供应商配置中心,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_config_002_no_permission,是,FROZEN_V1.2.2
STA-01372,ADM-CONFIG-003,ADMIN,阿里云短信配置,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_config_003_loading,否,FROZEN_V1.2.2
STA-01373,ADM-CONFIG-003,ADMIN,阿里云短信配置,ACTIVE_VERSION,配置当前生效版本,只读展示值、来源、生效时间和审计,创建草稿/回滚申请,与当前状态、权限或服务端version冲突的所有写操作,秘密仅显示配置状态,page_state_adm_config_003_active_version,否,FROZEN_V1.2.2
STA-01374,ADM-CONFIG-003,ADMIN,阿里云短信配置,DRAFT,存在未生效配置/规则/模板草稿,显示与当前版本差异,编辑/校验/提交审批,与当前状态、权限或服务端version冲突的所有写操作,不得影响运行时,page_state_adm_config_003_draft,否,FROZEN_V1.2.2
STA-01375,ADM-CONFIG-003,ADMIN,阿里云短信配置,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_adm_config_003_validating,否,FROZEN_V1.2.2
STA-01376,ADM-CONFIG-003,ADMIN,阿里云短信配置,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_config_003_pending_approval,否,FROZEN_V1.2.2
STA-01377,ADM-CONFIG-003,ADMIN,阿里云短信配置,ACTIVATING,配置版本原子激活中,显示步骤和回滚点,查询状态,与当前状态、权限或服务端version冲突的所有写操作,不得并行激活,page_state_adm_config_003_activating,否,FROZEN_V1.2.2
STA-01378,ADM-CONFIG-003,ADMIN,阿里云短信配置,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_config_003_error,否,FROZEN_V1.2.2
STA-01379,ADM-CONFIG-003,ADMIN,阿里云短信配置,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_adm_config_003_conflict,否,FROZEN_V1.2.2
STA-01380,ADM-CONFIG-003,ADMIN,阿里云短信配置,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_config_003_offline,否,FROZEN_V1.2.2
STA-01381,ADM-CONFIG-003,ADMIN,阿里云短信配置,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_config_003_no_permission,是,FROZEN_V1.2.2
STA-01382,ADM-CONFIG-004,ADMIN,对象存储配置,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_config_004_loading,否,FROZEN_V1.2.2
STA-01383,ADM-CONFIG-004,ADMIN,对象存储配置,ACTIVE_VERSION,配置当前生效版本,只读展示值、来源、生效时间和审计,创建草稿/回滚申请,与当前状态、权限或服务端version冲突的所有写操作,秘密仅显示配置状态,page_state_adm_config_004_active_version,否,FROZEN_V1.2.2
STA-01384,ADM-CONFIG-004,ADMIN,对象存储配置,DRAFT,存在未生效配置/规则/模板草稿,显示与当前版本差异,编辑/校验/提交审批,与当前状态、权限或服务端version冲突的所有写操作,不得影响运行时,page_state_adm_config_004_draft,否,FROZEN_V1.2.2
STA-01385,ADM-CONFIG-004,ADMIN,对象存储配置,VALIDATING,正在验证一次性state或输入,显示处理中，不暴露敏感参数,返回（允许时）,与当前状态、权限或服务端version冲突的所有写操作,参数立即从URL清理,page_state_adm_config_004_validating,否,FROZEN_V1.2.2
STA-01386,ADM-CONFIG-004,ADMIN,对象存储配置,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_config_004_pending_approval,否,FROZEN_V1.2.2
STA-01387,ADM-CONFIG-004,ADMIN,对象存储配置,ACTIVATING,配置版本原子激活中,显示步骤和回滚点,查询状态,与当前状态、权限或服务端version冲突的所有写操作,不得并行激活,page_state_adm_config_004_activating,否,FROZEN_V1.2.2
STA-01388,ADM-CONFIG-004,ADMIN,对象存储配置,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_config_004_error,否,FROZEN_V1.2.2
STA-01389,ADM-CONFIG-004,ADMIN,对象存储配置,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_adm_config_004_conflict,否,FROZEN_V1.2.2
STA-01390,ADM-CONFIG-004,ADMIN,对象存储配置,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_adm_config_004_offline,否,FROZEN_V1.2.2
STA-01391,ADM-CONFIG-004,ADMIN,对象存储配置,NO_PERMISSION,后台角色或数据范围不足,隐藏敏感内容并记录访问拒绝,返回/申请权限,与当前状态、权限或服务端version冲突的所有写操作,禁止仅靠前端绕过,page_state_adm_config_004_no_permission,是,FROZEN_V1.2.2
STA-01392,ADM-CONFIG-005,ADMIN,支付网关配置,LOADING,首屏数据请求进行中,显示与最终布局一致的骨架屏,返回,与当前状态、权限或服务端version冲突的所有写操作,失败后显示重试,page_state_adm_config_005_loading,否,FROZEN_V1.2.2
STA-01393,ADM-CONFIG-005,ADMIN,支付网关配置,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_adm_config_005_content,否,FROZEN_V1.2.2
STA-01394,ADM-CONFIG-005,ADMIN,支付网关配置,EMPTY,查询成功但无符合条件的数据,展示业务化空状态、当前筛选和明确下一步,清除筛选/创建/返回,与当前状态、权限或服务端version冲突的所有写操作,修改筛选或执行主行动,page_state_adm_config_005_empty,否,FROZEN_V1.2.2
STA-01395,ADM-CONFIG-005,ADMIN,支付网关配置,RECONCILING,对账任务执行中,展示渠道、账期和进度,查询/取消（允许时）,与当前状态、权限或服务端version冲突的所有写操作,重复触发应幂等,page_state_adm_config_005_reconciling,否,FROZEN_V1.2.2
STA-01396,ADM-CONFIG-005,ADMIN,支付网关配置,PENDING_APPROVAL,敏感变更等待双人复核,锁定关键字段，展示审批进度,撤回（允许时）/查看审批,与当前状态、权限或服务端version冲突的所有写操作,申请人不得自审,page_state_adm_config_005_pending_approval,否,FROZEN_V1.2.2
STA-01397,ADM-CONFIG-005,ADMIN,支付网关配置,CONFLICT,expectedVersion或状态机冲突,展示数据已变化和差异摘要,重新加载/放弃本地变更,与当前状态、权限或服务端version冲突的所有写操作,禁止盲目覆盖,page_state_adm_config_005_conflict,否,FROZEN_V1.2.2
STA-01398,ADM-CONFIG-005,ADMIN,支付网关配置,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_adm_config_005_error,否,FROZEN_V1.2.2
STA-01399,ADM-CONFIG-005,ADMIN,支付网关配置,QUOTE_READY,服务端报价有效,展示最终金额、费用、权益和过期时间,确认下单/返回,与当前状态、权限或服务端version冲突的所有写操作,过期后必须重新报价,page_state_adm_config_005_quote_ready,否,FROZEN_V1.2.2
STA-01400,ADM-CONFIG-005,ADMIN,支付网关配置,PAYMENT_PENDING,支付已创建但未确认最终结果,轮询/订阅服务端订单状态,查询/返回,与当前状态、权限或服务端version冲突的所有写操作,不得重复创建订单,page_state_adm_config_005_payment_pending,否,FROZEN_V1.2.2
