字段ID,页面ID,平台,页面,区域,字段键,显示名称,字段角色,语义类型,控件类型,数据来源,必填条件,显示条件,可编辑条件,校验规则,默认值,选项来源,敏感级别,脱敏规则,帮助说明,错误提示,排序,关联operationId,成熟度
FLD-04424,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,requiresRestart,是否需重启,DISPLAY,boolean,TEXT,adminConfigGetConfigs.response.data.ConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,是否需重启加载失败时显示字段级占位或隐藏,24,adminConfigGetConfigs,FROZEN_V1.2.2
FLD-04425,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,updatedBy,更新人,DISPLAY,string,TEXT,adminConfigGetConfigs.response.data.ConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,更新人加载失败时显示字段级占位或隐藏,25,adminConfigGetConfigs,FROZEN_V1.2.2
FLD-04426,ADM-CONFIG-008,ADMIN,域名与环境配置,路由与筛选,key,key,PATH_PARAM,string,TEXT_INPUT,adminConfigPutConfigsByKey.path,必填,执行“修改配置并生成版本”时显示,用户具备权限且页面状态允许,必填；最少1字符；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,路径资源标识：key,key格式或范围不正确,26,adminConfigPutConfigsByKey,FROZEN_V1.2.2
FLD-04427,ADM-CONFIG-008,ADMIN,域名与环境配置,请求头,X-Idempotency-Key,X-Idempotency-Key,REQUEST_HEADER,string,TEXT_INPUT,adminConfigPutConfigsByKey.header,必填,执行“修改配置并生成版本”时显示,用户具备权限且页面状态允许,必填；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,X-Idempotency-Key格式或范围不正确,27,adminConfigPutConfigsByKey,FROZEN_V1.2.2
FLD-04428,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,value,value,INPUT,string,TEXT_INPUT,adminConfigPutConfigsByKey.request,必填,执行“修改配置并生成版本”且字段适用时显示,具备 config.write 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,value不符合要求,28,adminConfigPutConfigsByKey,FROZEN_V1.2.2
FLD-04429,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,effectiveAt,生效时间,INPUT,string,DATETIME_PICKER,adminConfigPutConfigsByKey.request,可选；按业务条件或页面状态决定,执行“修改配置并生成版本”且字段适用时显示,具备 config.write 且资源状态允许,格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,生效时间不符合要求,29,adminConfigPutConfigsByKey,FROZEN_V1.2.2
FLD-04430,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,expectedVersion,数据版本,INPUT,integer,NUMBER_INPUT,adminConfigPutConfigsByKey.request,必填,执行“修改配置并生成版本”且字段适用时显示,具备 config.write 且资源状态允许,必填；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,数据版本不符合要求,30,adminConfigPutConfigsByKey,FROZEN_V1.2.2
FLD-04431,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,approvalId,审批单,INPUT,string,TEXT_INPUT,adminConfigPutConfigsByKey.request,可选；按业务条件或页面状态决定,执行“修改配置并生成版本”且字段适用时显示,具备 config.write 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,审批单不符合要求,31,adminConfigPutConfigsByKey,FROZEN_V1.2.2
FLD-04432,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,provider,供应商,DISPLAY,string,TEXT,adminProviderConfigGetProviderConfigs.response.data.ProviderConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,供应商加载失败时显示字段级占位或隐藏,70,adminProviderConfigGetProviderConfigs,FROZEN_V1.2.2
FLD-04433,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,activeVersion,当前版本,DISPLAY,string,TEXT,adminProviderConfigGetProviderConfigs.response.data.ProviderConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,当前版本加载失败时显示字段级占位或隐藏,72,adminProviderConfigGetProviderConfigs,FROZEN_V1.2.2
FLD-04434,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,draftVersion,草稿版本,DISPLAY,string,TEXT,adminProviderConfigGetProviderConfigs.response.data.ProviderConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,草稿版本加载失败时显示字段级占位或隐藏,73,adminProviderConfigGetProviderConfigs,FROZEN_V1.2.2
FLD-04435,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,configuredSecrets,秘密配置状态,DISPLAY,array<object>,LIST,adminProviderConfigGetProviderConfigs.response.data.ProviderConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多100项,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,秘密配置状态加载失败时显示字段级占位或隐藏,74,adminProviderConfigGetProviderConfigs,FROZEN_V1.2.2
FLD-04436,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,connectionStatus,连接状态,DISPLAY,string,TEXT,adminProviderConfigGetProviderConfigs.response.data.ProviderConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,连接状态加载失败时显示字段级占位或隐藏,75,adminProviderConfigGetProviderConfigs,FROZEN_V1.2.2
FLD-04437,ADM-CONFIG-008,ADMIN,域名与环境配置,主要内容,lastTestAt,最后测试时间,DISPLAY,string,DATETIME_TEXT,adminProviderConfigGetProviderConfigs.response.data.ProviderConfigResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,格式:date-time,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,最后测试时间加载失败时显示字段级占位或隐藏,76,adminProviderConfigGetProviderConfigs,FROZEN_V1.2.2
FLD-04438,ADM-CONFIG-008,ADMIN,域名与环境配置,路由与筛选,provider,供应商,PATH_PARAM,string,TEXT_INPUT,adminProviderConfigGetProviderConfigsByProvider.path,必填,执行“指定供应商配置详情，秘密字段只返回是否已配置”时显示,用户具备权限且页面状态允许,必填；最少1字符；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,路径资源标识：provider,供应商格式或范围不正确,78,adminProviderConfigGetProviderConfigsByProvider,FROZEN_V1.2.2
FLD-04439,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,provider,供应商,INPUT,string,TEXT_INPUT,adminProviderConfigGetProviderConfigsByProvider.request,必填,执行“指定供应商配置详情，秘密字段只返回是否已配置”且字段适用时显示,具备 provider.config.read 且资源状态允许,必填；最少1字符；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,路径资源标识：provider,供应商不符合要求,79,adminProviderConfigGetProviderConfigsByProvider,FROZEN_V1.2.2
FLD-04440,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,environment,环境,INPUT,string,TEXT_INPUT,adminProviderConfigPostProviderConfigsByProviderVersions.request,必填,执行“创建供应商配置版本”且字段适用时显示,具备 provider.config.write 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,环境不符合要求,90,adminProviderConfigPostProviderConfigsByProviderVersions,FROZEN_V1.2.2
FLD-04441,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,values,values,INPUT,object,STRUCTURED_EDITOR,adminProviderConfigPostProviderConfigsByProviderVersions.request,必填,执行“创建供应商配置版本”且字段适用时显示,具备 provider.config.write 且资源状态允许,必填,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,values不符合要求,91,adminProviderConfigPostProviderConfigsByProviderVersions,FROZEN_V1.2.2
FLD-04442,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,secretRefs,secret Refs,INPUT,object,STRUCTURED_EDITOR,adminProviderConfigPostProviderConfigsByProviderVersions.request,可选；按业务条件或页面状态决定,执行“创建供应商配置版本”且字段适用时显示,具备 provider.config.write 且资源状态允许,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,secret Refs不符合要求,92,adminProviderConfigPostProviderConfigsByProviderVersions,FROZEN_V1.2.2
FLD-04443,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,remark,备注,INPUT,string,TEXT_INPUT,adminProviderConfigPostProviderConfigsByProviderVersions.request,可选；按业务条件或页面状态决定,执行“创建供应商配置版本”且字段适用时显示,具备 provider.config.write 且资源状态允许,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,备注不符合要求,93,adminProviderConfigPostProviderConfigsByProviderVersions,FROZEN_V1.2.2
FLD-04444,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,versionId,version Id,INPUT,string,TEXT_INPUT,adminProviderConfigPostProviderConfigsByProviderTest.request,必填,执行“连接或发送测试”且字段适用时显示,具备 provider.config.test 且资源状态允许,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,version Id不符合要求,96,adminProviderConfigPostProviderConfigsByProviderTest,FROZEN_V1.2.2
FLD-04445,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,testRecipient,test Recipient,INPUT,string,TEXT_INPUT,adminProviderConfigPostProviderConfigsByProviderTest.request,可选；按业务条件或页面状态决定,执行“连接或发送测试”且字段适用时显示,具备 provider.config.test 且资源状态允许,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,HIGH,按数据分级展示部分掩码；导出执行更严格脱敏,,test Recipient不符合要求,97,adminProviderConfigPostProviderConfigsByProviderTest,FROZEN_V1.2.2
FLD-04446,ADM-CONFIG-008,ADMIN,域名与环境配置,路由与筛选,code,代码,PATH_PARAM,string,OTP_INPUT,adminDomainConfigPutDomainsByCode.path,必填,执行“更新二级域名计划”时显示,用户具备权限且页面状态允许,必填；最少1字符；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,路径资源标识：code,代码格式或范围不正确,98,adminDomainConfigPutDomainsByCode,FROZEN_V1.2.2
FLD-04447,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,hostname,hostname,INPUT,string,TEXT_INPUT,adminDomainConfigPutDomainsByCode.request,必填,执行“更新二级域名计划”且字段适用时显示,具备 domain.write 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,hostname不符合要求,100,adminDomainConfigPutDomainsByCode,FROZEN_V1.2.2
FLD-04448,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,certificateMode,certificate Mode,INPUT,string,TEXT_INPUT,adminDomainConfigPutDomainsByCode.request,可选；按业务条件或页面状态决定,执行“更新二级域名计划”且字段适用时显示,具备 domain.write 且资源状态允许,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,certificate Mode不符合要求,101,adminDomainConfigPutDomainsByCode,FROZEN_V1.2.2
FLD-04449,ADM-CONFIG-008,ADMIN,域名与环境配置,表单输入,force,force,INPUT,boolean,TEXT_INPUT,adminDomainConfigPostDomainsByCodeVerify.request,可选；按业务条件或页面状态决定,执行“验证解析和HTTPS可达性”且字段适用时显示,具备 domain.verify 且资源状态允许,按服务端Schema校验；前端不得放宽,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,force不符合要求,105,adminDomainConfigPostDomainsByCodeVerify,FROZEN_V1.2.2
FLD-04450,ADM-BUILD-001,ADMIN,构建中心首页,页面头部,pageTitle,页面标题,UI_META,ui,TEXT,LOCAL_UI,必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,页面标题不符合页面规格,1,,FROZEN_V1.2.2
FLD-04451,ADM-BUILD-001,ADMIN,构建中心首页,路由与筛选,page,页码,FILTER,integer,NUMBER_INPUT,adminAppBuildProfileGetAppBuildProfiles.query,可选；仅在对应操作/筛选时提交,执行“App构建Profile列表”时显示,用户具备权限且页面状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码格式或范围不正确,2,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04452,ADM-BUILD-001,ADMIN,构建中心首页,路由与筛选,pageSize,每页数量,FILTER,integer,NUMBER_INPUT,adminAppBuildProfileGetAppBuildProfiles.query,可选；仅在对应操作/筛选时提交,执行“App构建Profile列表”时显示,用户具备权限且页面状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量格式或范围不正确,3,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04453,ADM-BUILD-001,ADMIN,构建中心首页,路由与筛选,cursor,游标,FILTER,string,FILTER_INPUT,adminAppBuildProfileGetAppBuildProfiles.query,可选；仅在对应操作/筛选时提交,执行“App构建Profile列表”时显示,用户具备权限且页面状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标格式或范围不正确,4,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04454,ADM-BUILD-001,ADMIN,构建中心首页,路由与筛选,status,状态,FILTER,string,FILTER_INPUT,adminAppBuildProfileGetAppBuildProfiles.query,可选；仅在对应操作/筛选时提交,执行“App构建Profile列表”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态格式或范围不正确,5,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04455,ADM-BUILD-001,ADMIN,构建中心首页,路由与筛选,keyword,关键词,FILTER,string,FILTER_INPUT,adminAppBuildProfileGetAppBuildProfiles.query,可选；仅在对应操作/筛选时提交,执行“App构建Profile列表”时显示,用户具备权限且页面状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词格式或范围不正确,6,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04456,ADM-BUILD-001,ADMIN,构建中心首页,路由与筛选,sort,排序,FILTER,string,FILTER_INPUT,adminAppBuildProfileGetAppBuildProfiles.query,可选；仅在对应操作/筛选时提交,执行“App构建Profile列表”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序格式或范围不正确,7,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04457,ADM-BUILD-001,ADMIN,构建中心首页,表单输入,page,页码,INPUT,integer,NUMBER_INPUT,adminAppBuildProfileGetAppBuildProfiles.request,可选；按业务条件或页面状态决定,执行“App构建Profile列表”且字段适用时显示,具备 app.build.read 且资源状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码不符合要求,8,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04458,ADM-BUILD-001,ADMIN,构建中心首页,表单输入,pageSize,每页数量,INPUT,integer,NUMBER_INPUT,adminAppBuildProfileGetAppBuildProfiles.request,可选；按业务条件或页面状态决定,执行“App构建Profile列表”且字段适用时显示,具备 app.build.read 且资源状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量不符合要求,9,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04459,ADM-BUILD-001,ADMIN,构建中心首页,表单输入,cursor,游标,INPUT,string,TEXT_INPUT,adminAppBuildProfileGetAppBuildProfiles.request,可选；按业务条件或页面状态决定,执行“App构建Profile列表”且字段适用时显示,具备 app.build.read 且资源状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标不符合要求,10,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04460,ADM-BUILD-001,ADMIN,构建中心首页,表单输入,status,状态,INPUT,string,TEXT_INPUT,adminAppBuildProfileGetAppBuildProfiles.request,可选；按业务条件或页面状态决定,执行“App构建Profile列表”且字段适用时显示,具备 app.build.read 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态不符合要求,11,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04461,ADM-BUILD-001,ADMIN,构建中心首页,表单输入,keyword,关键词,INPUT,string,TEXT_INPUT,adminAppBuildProfileGetAppBuildProfiles.request,可选；按业务条件或页面状态决定,执行“App构建Profile列表”且字段适用时显示,具备 app.build.read 且资源状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词不符合要求,12,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04462,ADM-BUILD-001,ADMIN,构建中心首页,表单输入,sort,排序,INPUT,string,TEXT_INPUT,adminAppBuildProfileGetAppBuildProfiles.request,可选；按业务条件或页面状态决定,执行“App构建Profile列表”且字段适用时显示,具备 app.build.read 且资源状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序不符合要求,13,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04463,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,id,ID,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,ID加载失败时显示字段级占位或隐藏,14,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04464,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,name,名称,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,名称加载失败时显示字段级占位或隐藏,15,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04465,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,environment,环境,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,环境加载失败时显示字段级占位或隐藏,16,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04466,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,applicationId,application Id,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,application Id加载失败时显示字段级占位或隐藏,17,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04467,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,apiBaseUrl,api Base Url,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,api Base Url加载失败时显示字段级占位或隐藏,18,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04468,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,webSocketUrl,web Socket Url,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,web Socket Url加载失败时显示字段级占位或隐藏,19,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04469,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,signingProfileId,signing Profile Id,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,signing Profile Id加载失败时显示字段级占位或隐藏,20,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04470,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,status,状态,DISPLAY,string,TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,状态加载失败时显示字段级占位或隐藏,21,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04471,ADM-BUILD-001,ADMIN,构建中心首页,主要内容,version,版本,DISPLAY,integer,NUMBER_TEXT,adminAppBuildProfileGetAppBuildProfiles.response.data.BuildProfileResource,服务端返回时展示,有值且当前角色拥有字段访问权限,只读；通过明确写操作更新,必填；格式:int64,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,版本加载失败时显示字段级占位或隐藏,22,adminAppBuildProfileGetAppBuildProfiles,FROZEN_V1.2.2
FLD-04472,ADM-BUILD-001,ADMIN,构建中心首页,请求头,X-Idempotency-Key,X-Idempotency-Key,REQUEST_HEADER,string,TEXT_INPUT,adminAppBuildProfilePostAppBuildProfiles.header,必填,执行“创建构建Profile”时显示,用户具备权限且页面状态允许,必填；最多128字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,X-Idempotency-Key格式或范围不正确,23,adminAppBuildProfilePostAppBuildProfiles,FROZEN_V1.2.2
FLD-04473,ADM-BUILD-001,ADMIN,构建中心首页,表单输入,name,名称,INPUT,string,TEXT_INPUT,adminAppBuildProfilePostAppBuildProfiles.request,必填,执行“创建构建Profile”且字段适用时显示,具备 app.build.write 且资源状态允许,必填；最多2000字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,名称不符合要求,24,adminAppBuildProfilePostAppBuildProfiles,FROZEN_V1.2.2
